Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Agricultural,WSCSoy2,16,2054,Control,38.6589929,-90.7440433,8,1,B,4,,FALSE,4.98,4.49,,199,277,NA,NA,NA,NA,0,0,NA,,,52,142,126,1,0,
Natural,Lawrence,158,2055,Control,38.927036,-95.241462,17,2,D,4,7,188,23.8,8.9,14,199,277,249,9.39,104.6,34,0,0,F,11.889,0,1265,804,1588,0,na,0
Natural,FoxRidge,139,2056,Water,39.393248,-88.163216,4,2,C,4,5,186,37.87,11.82,18,199,277,219,9.47,56.4,21,0,0,M,12.744,0,1672,1159,2289,0,na,1
Natural,Pontoon,143,2057,Soy,38.699066,-90.068054,6,2,D,4,7,188,34.03,9.62,12,199,277,263,8.68,117.5,42,1,0,F,16.485,1,3285,2293,4443,0,0,2
Agricultural,Hickory,22,2058,Water,40.17519498,-90.26269396,11,1,C,4,,FALSE,,,,199,277,NA,NA,NA,NA,0,0,NA,,,85,212,194,1,na,
Natural,Keysport,77,2059,Soy,38.732444,-89.277403,5,1,F,4,6,187,43.31,7.2,8,199,277,242,8.21,61,15,0,1,NA,,,59,157,148,1,0,
Natural,Keysport,77,2060,Water,38.732444,-89.277403,5,1,E,4,6,187,27.31,10.15,8,199,277,233,4.59,67.5,16,1,0,M,1.02,0,1314,880,1635,0,na,0
Agricultural,Prairie,64,2061,Soy,41.35604002,-86.73699299,15,1,E,4,8,189,30.09,10.18,2,199,277,263,2.44,22.8,12,0,0,M,,0,2244,1687,2924,0,1,0
Natural,Browning,21,2062,Soy,40.12487104,-90.36914203,11,1,W,4,6,187,35.47,13.22,22,199,277,226,9.37,65.7,18,0,0,F,12.323,1,1081,1152,1944,0,1,2
Natural,Gascondale,85,2063,Control,38.66783702,-91.55559699,9,1,F,4,8,189,39.07,11.11,4,199,277,226,7.69,66.8,20,0,0,M,,0,2381,1881,3399,0,na,0
Agricultural,Mulberry,198,2064,Soy,38.755485,-89.272475,5,2,G,4,8,189,36.11,8.7,6,199,277,NA,NA,NA,NA,0,0,NA,,,29,73,60,1,0,
Natural,Maume,175,2065,Control,41.55656599,-83.66247503,1,2,F,4,7,188,31.41,11.12,18,199,277,217,8.19,48,20,0,0,M,4.295,0,33,76,68,1,na,1
Agricultural,Allentown,24,2066,Water,40.55406597,-89.48221204,12,1,C,4,6,187,29.16,9.98,18,199,277,235,10.18,62.5,20,0,0,F,8.199,1,1134,823,1463,0,na,1
Agricultural,Nunemaker,157,2067,Soy,38.988681,-95.215847,16,2,D,4,5,186,28.71,9.16,12,199,277,NA,NA,NA,NA,0,0,NA,,,53,139,132,1,0,
Agricultural,HWY66,26,2068,Control,40.82949003,-88.66930699,13,1,B,4,5,186,31.01,10.9,17,199,277,219,10.69,49.3,17,0,0,M,4.978,0,2658,1920,3447,0,na,1
Agricultural,Bradley,62,2069,Soy,41.16467102,-87.81988903,14,1,E,4,,FALSE,,,,199,277,NA,NA,NA,NA,0,0,NA,,,61,168,159,1,1,
Agricultural,Prairie,98,2070,Water,41.35604002,-86.73699299,15,1,G,4,5,186,12.25,7.95,13,199,277,226,9.29,63.2,24,0,0,F,10.068,1,1317,1129,1880,0,na,3
Agricultural,Greenup,8,2071,Soy,39.305104,-88.139778,4,1,A,4,7,188,41.42,11.24,10,199,277,242,8.2,116.4,31,0,0,F,14.97,1,959,868,1454,0,0,
Agricultural,Hernan,120,2072,Control,38.63920603,-91.51230698,9,2,W,4,6,187,30.22,8.92,7,199,277,242,10.21,74,21,0,0,M,7.25,0,1800,1409,2733,0,na,0
Natural,Aurora,39,2073,Water,39.05562996,-84.89810603,3,1,C,4,6,187,11.4,9.13,14,199,277,232,12.97,82,27,0,0,F,18.519,2,2192,1702,3121,0,na,3
Agricultural,Baldwin,68,2074,Soy,38.782048,-95.171401,17,1,E,4,9,190,14.49,4.44,,199,277,NA,NA,NA,NA,0,0,NA,8.99,,58,152,141,1,0,
Agricultural,Hickory,22,2075,Control,40.17519498,-90.26269396,11,1,B,4,8,189,22.32,9.5,4,199,277,233,8.78,74,18,0,0,F,,1,2638,1877,3858,0,na,1
Agricultural,Baldwin,34,2076,Soy,38.782048,-95.171401,17,1,C,4,,FALSE,,,,199,277,NA,NA,NA,NA,0,0,NA,,,29,73,61,1,1,
Natural,Browning,121,2077,Control,40.12487104,-90.36914203,11,2,W,4,6,187,,11.68,16,199,277,263,9.48,33.5,10,0,1,NA,,,27,67,57,1,na,
